127.0.0.1 - - [04/Jun/2021:16:29:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:10 +0900] "GET /root/ HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:12 +0900] "GET /root/adminProductList HTTP/1.1" 200 8338
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:12 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:12 +0900] "GET /root/resources/css/styles.css HTTP/1.1" 200 207445
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:12 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:12 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:13 +0900] "GET /root/adminMemberList HTTP/1.1" 200 8254
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:13 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:13 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:13 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:16 +0900] "GET /root/adminMemberInfo HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:16 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:16 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:16 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:17 +0900] "GET /root/adminProductList HTTP/1.1" 200 8338
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:17 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:17 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:17 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:19 +0900] "GET /root/adminProductModify HTTP/1.1" 200 10214
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:19 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:19 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jun/2021:16:29:19 +0900] "GET /root/js/scripts.js HTTP/1.1" 404 721
